estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
F,VALLE,Estrato 5,73,67,54,67,85,334
F,BOGOTA,Estrato 4,74,79,74,69,81,373
M,VALLE,Estrato 3,53,43,39,41,40,218
F,CAUCA,Estrato 3,64,67,60,55,64,308
M,VALLE,Estrato 2,51,45,56,37,52,238
F,NARIÑO,Estrato 3,59,57,57,59,78,298
F,BOGOTA,Estrato 6,67,68,73,63,77,342
M,VALLE,Estrato 3,52,51,48,42,42,239
F,BOGOTA,Estrato 6,81,76,70,72,95,382
F,NARIÑO,Estrato 5,71,66,62,56,69,321
F,VALLE,Estrato 4,81,79,79,75,93,398
F,BOGOTA,Estrato 4,61,62,57,54,63,294
F,VALLE,Estrato 3,61,54,55,62,76,297
F,VALLE,Estrato 5,60,54,58,55,65,287
M,VALLE,Estrato 3,64,71,61,63,65,324
M,CUNDINAMARCA,Estrato 6,61,54,53,60,71,290
F,BOGOTA,Estrato 3,70,66,71,73,74,352
F,VALLE,Estrato 4,63,61,68,72,60,328
M,VALLE,Estrato 2,50,32,39,42,37,202
M,VALLE,Estrato 4,61,54,57,71,59,303
M,CAUCA,Estrato 1,66,74,77,71,74,361
M,VALLE,Estrato 3,64,67,65,65,54,322
F,BOGOTA,Estrato 4,70,79,70,79,95,380
M,VALLE,Estrato 3,55,59,58,46,58,274
F,VALLE,Estrato 4,52,52,41,54,50,249
F,VALLE,Estrato 5,61,58,54,61,78,300
F,NARIÑO,Estrato 5,61,58,57,62,65,300
M,ANTIOQUIA,Estrato 5,64,63,63,61,97,327
M,CUNDINAMARCA,Estrato 3,55,64,62,66,77,315
M,BOGOTA,Estrato 5,66,88,71,57,86,358
M,ANTIOQUIA,Estrato 6,71,81,76,79,85,387
M,VALLE,Estrato 3,43,55,49,37,38,227
M,VALLE,Estrato 5,56,61,57,61,53,292
F,VALLE,Estrato 6,67,78,74,72,86,369
M,BOGOTA,Estrato 4,60,74,65,58,92,332
F,VALLE,Estrato 5,70,71,76,71,76,362
M,VALLE,Estrato 4,72,70,74,65,81,355
F,BOGOTA,Estrato 5,82,85,81,76,88,408
M,SANTANDER,Estrato 5,72,100,83,88,97,433
M,BOGOTA,Estrato 6,67,72,77,78,85,372
F,BOGOTA,Estrato 4,75,66,67,70,90,355
M,VALLE,Estrato 1,50,57,51,52,54,263
F,BOGOTA,Estrato 6,67,67,55,55,72,309
F,BOGOTA,Estrato 6,66,63,67,65,84,333
F,BOGOTA,Estrato 4,67,66,66,71,79,342
M,BOGOTA,Estrato 6,67,76,66,76,86,362
F,VALLE,Estrato 6,55,56,55,67,69,295
F,CALDAS,Estrato 6,73,72,68,70,81,358
F,ATLANTICO,Estrato 6,71,68,52,57,73,314
F,VALLE,Estrato 6,54,57,65,57,79,299
F,VALLE,Estrato 5,53,65,56,57,72,294
F,VALLE,Estrato 5,69,75,73,78,73,368
M,BOGOTA,Estrato 4,72,77,75,75,81,376
F,VALLE,Estrato 3,40,38,45,48,50,217
F,VALLE,Estrato 2,46,39,47,30,54,208
F,BOGOTA,Estrato 6,61,80,73,67,74,353
M,BOGOTA,Estrato 4,85,84,83,79,100,420
F,BOGOTA,Estrato 6,77,72,62,64,79,348
M,VALLE,Estrato 5,59,50,59,53,63,279
F,BOGOTA,Estrato 5,80,70,75,80,93,388
M,BOGOTA,Estrato 6,60,64,70,63,100,335
F,CUNDINAMARCA,Estrato 4,80,71,78,81,92,393
F,VALLE,Estrato 5,55,51,57,59,69,283
M,VALLE,-,73,64,63,69,83,342
F,BOGOTA,Estrato 4,76,79,66,65,93,366
F,VALLE,Estrato 4,55,55,52,50,61,268
M,ATLANTICO,Estrato 6,80,79,75,80,78,392
M,ATLANTICO,Estrato 6,60,60,62,61,71,308
M,BOGOTA,Estrato 6,72,78,77,85,94,396
M,BOGOTA,Estrato 4,45,42,45,30,42,203
