estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
F,VALLE,Estrato 3,59,54,53,64,59,288
M,ATLANTICO,Estrato 2,69,58,61,67,59,317
M,VALLE,Estrato 4,69,63,64,63,81,330
F,BOGOTA,Estrato 6,73,67,69,74,80,357
M,BOGOTA,Estrato 5,74,88,75,79,100,403
F,BOGOTA,Estrato 4,76,53,62,69,75,329
F,BOGOTA,Estrato 6,76,83,75,74,98,393
F,VALLE,Estrato 4,61,53,55,62,66,292
M,QUINDIO,Estrato 6,65,73,76,69,81,358
F,BOGOTA,Estrato 5,67,67,67,70,83,345
M,ATLANTICO,Estrato 6,41,34,39,36,81,204
F,VALLE,Estrato 3,57,47,63,55,69,283
F,BOGOTA,Estrato 4,80,69,73,71,100,377
F,BOGOTA,Estrato 6,67,64,66,69,94,343
F,ATLANTICO,Estrato 5,64,70,64,60,69,324
M,VALLE,Estrato 2,71,69,80,62,73,353
M,VALLE,Estrato 3,75,56,64,71,73,335
M,VALLE,Estrato 6,57,59,55,58,59,287
M,CAUCA,Estrato 3,67,85,83,80,70,390
F,VALLE,Estrato 4,47,46,47,48,51,237
M,VALLE,Estrato 5,67,89,100,70,77,406
M,CAUCA,Estrato 6,79,80,81,86,94,412
F,VALLE,Estrato 2,54,59,63,51,49,281
M,BOGOTA,Estrato 4,75,72,72,68,93,367
F,VALLE,Estrato 2,56,46,47,54,56,256
F,VALLE,Estrato 5,71,73,77,72,70,365
F,BOGOTA,Estrato 5,68,70,66,62,75,336
M,VALLE,Estrato 2,65,64,59,71,58,321
M,VALLE,Estrato 1,59,72,63,63,56,318
F,VALLE,Estrato 4,63,49,60,58,58,288
F,ANTIOQUIA,Estrato 6,63,65,66,53,78,315
M,VALLE,Estrato 3,40,47,47,36,55,217
F,VALLE,Estrato 4,61,72,66,71,70,338
M,VALLE,Estrato 5,82,67,66,70,56,350
F,CALDAS,Estrato 4,71,74,81,65,79,366
F,VALLE,Estrato 5,67,61,62,61,92,325
M,VALLE,Estrato 4,64,61,65,59,75,316
F,ANTIOQUIA,Estrato 6,79,79,74,79,90,393
F,BOGOTA,Estrato 3,80,72,68,71,83,368
M,QUINDIO,Estrato 5,60,67,61,62,69,315
F,VALLE,Estrato 1,71,67,66,67,60,336
M,VALLE,Estrato 4,58,57,62,58,71,298
F,BOGOTA,Estrato 6,76,75,74,71,85,374
M,VALLE,-,57,69,56,65,78,315
F,VALLE,Estrato 4,56,47,59,64,61,284
M,VALLE,Estrato 4,60,60,57,56,59,292
M,BOGOTA,Estrato 3,63,77,70,69,76,351
F,VALLE,Estrato 1,65,65,60,56,54,305
F,VALLE,Estrato 4,62,75,77,69,75,355
F,VALLE,Estrato 4,63,55,64,65,65,310
M,CUNDINAMARCA,Estrato 4,67,66,71,71,100,356
M,VALLE,Estrato 3,55,61,67,50,63,293
F,ATLANTICO,Estrato 6,63,54,65,64,67,310
M,QUINDIO,Estrato 6,76,100,80,80,90,422
F,VALLE,Estrato 5,66,68,62,64,73,328
F,VALLE,Estrato 2,63,71,60,58,65,316
M,VALLE,Estrato 4,75,81,73,70,79,375
M,BOGOTA,Estrato 6,68,69,67,69,86,348
M,BOGOTA,Estrato 5,62,66,68,63,89,333
F,VALLE,Estrato 4,65,67,63,73,62,333
F,CALDAS,Estrato 5,64,73,75,63,81,348
M,VALLE,Estrato 4,53,62,56,54,52,280
M,CUNDINAMARCA,Estrato 3,67,75,66,77,85,362
F,VALLE,Estrato 4,80,89,84,84,91,424
F,VALLE,Estrato 2,69,62,58,57,48,302
F,VALLE,Estrato 2,44,50,53,40,46,233
F,BOGOTA,Estrato 6,58,69,61,63,74,318
F,BOGOTA,Estrato 6,70,69,66,67,75,343
F,VALLE,Estrato 1,63,59,57,61,44,294
M,VALLE,Estrato 3,61,60,62,58,71,305
M,ANTIOQUIA,Estrato 3,59,53,46,63,66,280
M,VALLE,Estrato 5,57,45,53,54,58,263
M,BOGOTA,Estrato 5,79,85,100,81,90,433
F,VALLE,Estrato 5,56,54,47,57,70,274
F,VALLE,Estrato 2,74,72,67,62,71,345
F,VALLE,Estrato 3,76,71,79,100,72,404
M,ATLANTICO,Estrato 6,72,88,79,68,100,393
M,CALDAS,Estrato 3,66,80,77,83,95,390
F,VALLE,Estrato 4,60,59,60,55,57,292
F,VALLE,Estrato 4,63,72,72,64,77,342
M,BOGOTA,Estrato 4,76,82,77,74,85,389
F,VALLE,Estrato 4,61,55,64,59,57,298
F,VALLE,Estrato 2,60,59,64,55,70,302
F,VALLE,Estrato 5,39,29,29,35,40,168
M,CAUCA,Estrato 3,57,62,53,61,49,288
M,VALLE,Estrato 4,58,61,66,54,57,298
F,VALLE,Estrato 3,65,53,58,72,64,311
F,BOGOTA,Estrato 6,66,73,73,72,80,358
F,BOGOTA,Estrato 6,75,65,71,68,81,353
F,VALLE,-,68,65,62,73,74,338
F,BOGOTA,Estrato 5,67,69,69,72,88,353
M,VALLE,Estrato 5,51,56,61,47,65,273
F,VALLE,Estrato 2,66,52,60,72,56,310
F,BOGOTA,Estrato 4,59,55,63,57,65,295
F,BOGOTA,Estrato 4,66,68,64,62,82,332
M,BOGOTA,Estrato 6,67,77,72,71,81,362
M,VALLE,Estrato 3,57,53,56,57,59,280
M,BOGOTA,Estrato 6,59,50,56,54,49,272
M,ANTIOQUIA,Estrato 6,53,41,47,55,72,254
M,VALLE,Estrato 3,44,44,56,53,46,245
M,VALLE,Estrato 3,59,53,56,60,67,289
M,VALLE,Estrato 2,49,55,58,43,46,254
M,VALLE,Estrato 2,62,61,65,69,71,324
F,VALLE,Estrato 3,62,55,65,63,62,307
M,BOGOTA,Estrato 6,75,68,74,74,93,372
M,BOGOTA,Estrato 4,68,70,67,65,71,339
M,MAGDALENA,Estrato 4,59,64,58,64,84,315
M,VALLE,-,56,49,54,58,52,270
F,CORDOBA,Estrato 6,79,66,72,70,80,362
M,VALLE,Estrato 3,62,58,57,64,47,296
M,BOGOTA,Estrato 6,66,69,67,66,88,343
F,MAGDALENA,Estrato 4,69,79,69,68,84,361
M,VALLE,Estrato 4,51,42,49,48,46,237
M,VALLE,Estrato 5,75,76,79,76,75,382
M,CUNDINAMARCA,Estrato 5,57,49,60,64,68,292
M,BOGOTA,Estrato 4,70,73,70,75,97,370
F,VALLE,Estrato 6,62,62,58,53,77,301
F,VALLE,Estrato 3,48,38,45,38,50,214
F,BOGOTA,Estrato 6,60,66,67,64,78,327
F,BOGOTA,Estrato 4,68,67,66,68,83,342
M,CESAR,Estrato 6,66,70,76,74,79,360
M,VALLE,Estrato 2,69,63,75,65,72,342
M,VALLE,Estrato 3,57,53,60,67,64,298
M,SANTANDER,Estrato 5,71,67,73,74,100,367
F,CAUCA,Estrato 1,36,40,42,39,27,192
F,VALLE,Estrato 3,54,56,54,54,47,270
F,VALLE,Estrato 3,52,44,48,51,50,244
F,NARIÑO,Sin Estrato,57,53,67,57,66,295
F,VALLE,Estrato 5,57,43,55,54,58,263
F,VALLE,Estrato 5,51,62,63,57,59,292
F,VALLE,Estrato 3,60,69,64,61,54,314
F,VALLE,Estrato 3,63,62,59,60,67,307
M,VALLE,Estrato 5,44,47,47,46,46,230
F,BOGOTA,Estrato 5,75,73,67,67,79,356
F,VALLE,Estrato 3,56,58,52,50,56,271
M,BOGOTA,Sin Estrato,61,72,70,63,84,339
M,BOGOTA,Estrato 4,59,68,61,61,81,318
F,ATLANTICO,Estrato 5,70,66,66,65,93,344
M,VALLE,Estrato 2,55,59,62,50,58,283
F,ATLANTICO,Estrato 6,63,69,74,63,85,343
M,VALLE,Estrato 3,59,59,63,62,49,299
F,VALLE,Estrato 5,59,50,55,52,66,275
F,BOGOTA,Estrato 6,69,62,61,61,88,326
M,VALLE,Estrato 4,60,62,69,54,83,315
M,BOGOTA,Estrato 5,67,58,59,69,74,320
M,MAGDALENA,-,65,42,55,57,75,282
F,ANTIOQUIA,Estrato 6,67,70,73,69,94,358
M,VALLE,Estrato 3,49,57,53,47,58,260
F,VALLE,Estrato 4,60,68,68,62,69,324
F,VALLE,Sin Estrato,58,52,62,63,77,301
F,VALLE,Estrato 6,57,60,61,60,70,302
F,BOGOTA,Estrato 5,55,56,59,58,64,288
M,VALLE,Estrato 3,52,52,50,54,40,255
M,VALLE,Estrato 3,49,61,63,55,37,277
M,BOGOTA,Estrato 3,51,53,48,55,63,263
M,VALLE,Estrato 5,52,54,43,46,46,243
M,VALLE,Estrato 4,55,53,61,51,55,275
M,VALLE,Estrato 5,68,100,70,75,78,391
F,VALLE,Estrato 5,76,70,81,83,78,388
F,BOGOTA,Estrato 4,59,56,58,57,66,291
M,BOLIVAR,Estrato 6,59,69,66,73,72,336
M,BOGOTA,Estrato 6,75,76,78,69,89,378
M,BOGOTA,Estrato 5,63,77,74,76,92,370
F,VALLE,Estrato 5,66,55,59,58,72,302
M,VALLE,Estrato 5,61,58,59,64,71,307
M,VALLE,Estrato 4,44,50,50,48,47,240
M,BOGOTA,Estrato 6,72,72,75,60,100,360
F,VALLE,Estrato 2,50,50,50,40,55,240
M,VALLE,Estrato 2,63,65,59,60,57,307
M,VALLE,Estrato 4,54,56,54,64,63,287
F,VALLE,Estrato 2,52,57,59,61,64,289
M,ANTIOQUIA,Estrato 6,61,71,75,76,82,358
F,BOGOTA,Estrato 4,69,79,74,71,82,370
M,VALLE,Estrato 2,40,50,46,35,45,215
F,BOGOTA,Estrato 6,67,60,65,63,74,323
M,VALLE,Estrato 3,65,55,56,55,59,289
M,CUNDINAMARCA,Estrato 5,63,56,67,64,72,316
F,VALLE,Estrato 6,61,60,66,63,70,315
M,BOGOTA,Estrato 3,74,74,72,71,70,363
F,VALLE,Estrato 2,42,41,43,37,53,208
F,VALLE,Estrato 2,59,60,63,70,60,314
M,MAGDALENA,Estrato 5,66,70,75,80,89,370
M,BOGOTA,Estrato 5,69,83,77,71,85,379
F,VALLE,Estrato 4,50,43,53,54,48,249
M,VALLE,Estrato 3,58,63,60,56,49,292
F,BOGOTA,Estrato 6,63,75,71,69,86,354
M,BOGOTA,Estrato 3,60,50,56,63,65,289
F,BOGOTA,Estrato 6,75,76,76,71,92,379
M,VALLE,Estrato 4,60,59,64,56,55,297
F,VALLE,Estrato 2,43,35,44,40,42,203
F,VALLE,Estrato 4,64,58,62,66,70,315
F,BOGOTA,Estrato 4,66,72,73,72,90,361
M,ATLANTICO,Estrato 6,65,74,64,57,76,329
F,VALLE,Estrato 2,53,42,52,50,49,246
F,VALLE,Estrato 2,44,43,49,56,40,237
M,VALLE,Estrato 6,70,73,67,72,88,359
M,ATLANTICO,Estrato 5,75,68,72,82,82,374
F,VALLE,Estrato 5,63,68,61,64,84,328
F,BOGOTA,Estrato 6,71,75,67,74,80,362
M,CUNDINAMARCA,Estrato 4,60,47,45,56,77,270
M,ATLANTICO,Estrato 5,50,58,59,62,68,290
F,BOGOTA,Estrato 5,69,68,68,69,83,348
M,VALLE,Estrato 3,61,66,52,63,43,296
F,VALLE,Estrato 4,58,57,57,54,76,290
F,CAUCA,Estrato 2,74,85,78,78,89,398
F,BOGOTA,Estrato 6,78,71,75,72,87,375
M,CAUCA,-,51,59,52,51,43,262
F,BOGOTA,Estrato 6,69,78,76,66,87,367
M,BOGOTA,Estrato 4,69,56,58,66,83,319
M,VALLE,Estrato 4,53,64,64,54,75,300
F,VALLE,Estrato 5,73,75,74,68,85,367
F,VALLE,Estrato 4,33,46,52,28,49,202
M,VALLE,Estrato 3,62,59,57,59,53,294
F,VALLE,Estrato 4,61,46,49,49,49,255
F,BOGOTA,Estrato 6,70,65,72,74,82,356
M,VALLE,Estrato 3,45,47,47,41,45,225
M,VALLE,Estrato 3,53,53,57,52,61,272
M,VALLE,Estrato 3,68,67,64,71,68,338
M,VALLE,Estrato 4,54,65,62,57,41,290
M,BOGOTA,Estrato 5,76,75,75,73,88,379
F,SANTANDER,Estrato 6,72,69,71,67,93,358
F,BOGOTA,Estrato 6,72,86,82,79,100,407
F,ATLANTICO,Estrato 6,61,64,63,62,80,319
F,CALDAS,Estrato 6,65,57,74,77,100,353
F,VALLE,Estrato 5,61,61,66,58,63,308
F,BOGOTA,Estrato 6,63,59,66,67,85,327
F,VALLE,Estrato 2,52,45,52,57,54,258
F,VALLE,Estrato 3,68,69,67,71,74,346
F,VALLE,Estrato 6,69,65,63,61,76,327
M,BOGOTA,Estrato 6,74,72,69,65,74,352
F,VALLE,Estrato 3,57,58,62,57,65,295
M,BOGOTA,Estrato 6,54,62,67,69,85,323
M,VALLE,Estrato 4,68,59,62,62,63,314
M,ATLANTICO,Estrato 5,51,61,59,57,32,275
M,BOGOTA,Estrato 6,68,62,70,71,83,345
F,VALLE,Estrato 3,75,65,63,68,62,337
F,ANTIOQUIA,Estrato 6,59,68,58,63,75,315
F,NARIÑO,Estrato 2,55,58,56,51,51,273
M,MAGDALENA,Estrato 5,65,58,67,77,83,340
M,VALLE,Estrato 1,43,50,55,55,35,248
M,BOGOTA,Estrato 5,73,68,59,67,82,340
F,VALLE,Estrato 3,44,40,49,54,58,238
M,VALLE,Estrato 3,74,73,71,78,54,362
M,ANTIOQUIA,Estrato 6,81,80,76,81,96,404
M,NARIÑO,Estrato 3,57,51,47,59,53,267
M,VALLE,Estrato 4,67,57,59,62,57,305
M,VALLE,Estrato 3,62,59,63,59,72,308
F,VALLE,Estrato 5,78,75,78,72,71,377
F,BOGOTA,Estrato 6,68,53,60,68,74,316
F,VALLE,Estrato 3,54,54,51,31,46,237
M,BOGOTA,Estrato 5,72,79,71,71,87,372
M,VALLE,Estrato 3,47,46,53,55,58,254
M,VALLE,Estrato 4,69,69,65,68,73,341
F,BOGOTA,Estrato 5,67,68,67,66,73,337
M,ATLANTICO,Estrato 6,63,86,76,68,88,372
M,VALLE,Estrato 3,58,58,58,55,58,287
F,CESAR,Estrato 6,65,64,67,66,74,331
M,ANTIOQUIA,Estrato 5,61,66,52,60,65,301
M,BOGOTA,Estrato 6,73,82,80,82,100,404
M,CUNDINAMARCA,Estrato 4,76,60,71,72,82,353
M,VALLE,-,53,57,57,63,41,281
F,VALLE,Estrato 3,53,48,51,58,64,267
M,VALLE,Estrato 2,54,42,41,49,46,232
F,VALLE,Estrato 3,62,64,67,66,62,323
M,VALLE,Estrato 6,61,79,69,69,75,350
F,BOGOTA,Estrato 5,65,65,64,56,77,318
M,ANTIOQUIA,Estrato 5,62,72,78,64,70,345
F,VALLE,Estrato 3,47,59,56,49,45,261
F,VALLE,Estrato 4,61,66,64,68,54,320
M,VALLE,Estrato 5,48,43,57,47,67,251
F,ANTIOQUIA,Estrato 5,81,82,81,74,93,403
F,VALLE,Estrato 3,51,56,57,53,47,268
F,VALLE,Estrato 3,69,60,62,60,54,310
M,VALLE,Estrato 3,58,53,55,54,52,274
M,VALLE,Estrato 5,74,76,71,67,60,355
M,VALLE,Estrato 3,49,53,56,46,60,258
F,VALLE,Estrato 6,69,63,69,61,82,334
F,VALLE,Estrato 2,68,56,64,65,66,317
M,CALDAS,Estrato 5,49,49,54,45,60,250
F,VALLE,-,48,55,48,56,83,271
F,BOGOTA,Estrato 5,67,62,65,61,89,328
F,VALLE,Estrato 4,70,69,69,73,89,358
F,VALLE,Estrato 3,54,58,53,55,53,274
F,VALLE,Estrato 5,40,54,57,51,69,260
F,VALLE,Estrato 3,57,55,50,46,57,262
F,VALLE,Estrato 3,59,60,58,58,56,293
F,VALLE,Estrato 2,56,66,64,60,46,302
M,BOGOTA,Estrato 5,69,73,74,63,85,355
M,VALLE,Estrato 3,61,53,60,59,67,295
F,CALDAS,Estrato 6,65,57,64,66,73,319
M,VALLE,Estrato 4,70,57,57,68,64,315
F,VALLE,Estrato 3,51,52,52,50,54,257
M,CUNDINAMARCA,Estrato 4,60,60,65,66,77,319
F,NARIÑO,Estrato 5,55,47,57,45,51,255
F,CAUCA,Estrato 4,64,69,69,60,74,331
F,VALLE,Estrato 2,65,29,51,58,33,247
F,VALLE,Estrato 4,74,75,69,70,93,368
M,VALLE,Estrato 3,62,65,64,63,74,322
F,MAGDALENA,Estrato 6,62,65,62,59,75,315
M,VALLE,Estrato 4,58,63,60,54,54,292
M,BOGOTA,Estrato 4,55,59,59,57,71,293
M,ANTIOQUIA,Estrato 5,68,82,68,69,100,370
M,VALLE,Estrato 3,62,62,65,67,66,321
M,VALLE,Estrato 4,49,37,42,37,25,200
F,BOGOTA,Estrato 5,58,64,61,57,72,305
M,VALLE,Estrato 2,52,45,37,41,38,217
F,VALLE,Estrato 4,58,62,59,56,62,295
F,VALLE,Estrato 4,60,60,59,62,59,301
M,VALLE,Estrato 4,52,64,57,52,57,282
F,BOGOTA,Estrato 6,59,74,72,70,86,350
M,VALLE,Estrato 4,60,49,62,59,47,283
M,ANTIOQUIA,Estrato 6,75,74,68,74,97,373
M,VALLE,Estrato 2,59,59,55,39,50,264
M,VALLE,Estrato 3,57,58,65,64,57,303
M,VALLE,Estrato 4,55,52,55,52,60,270
M,VALLE,Estrato 5,62,69,66,61,58,320
F,BOGOTA,Estrato 5,63,71,65,77,92,354
M,VALLE,Estrato 4,72,66,61,73,79,344
F,BOGOTA,Estrato 5,73,86,76,85,95,406
F,VALLE,Estrato 3,64,62,66,53,70,310
M,VALLE,Estrato 3,56,62,65,57,56,298
F,CAUCA,Estrato 3,59,60,64,61,51,301
M,VALLE,Estrato 5,67,71,64,57,66,324
F,VALLE,Estrato 3,49,51,55,47,40,248
M,VALLE,Estrato 3,63,57,67,66,84,324
F,VALLE,Estrato 5,47,44,48,40,46,224
M,BOGOTA,Estrato 6,70,75,80,70,92,376
M,VALLE,Estrato 6,70,79,82,72,76,379
M,BOGOTA,Estrato 5,72,86,75,75,84,388
F,VALLE,Estrato 5,46,44,51,52,55,244
F,VALLE,Estrato 5,67,75,69,64,89,352
F,VALLE,Estrato 3,58,62,63,59,70,306
M,VALLE,Estrato 5,75,69,77,70,74,364
M,BOGOTA,Estrato 6,67,80,72,72,87,369
M,VALLE,Estrato 5,62,62,57,58,43,292
F,CAUCA,Estrato 1,59,65,62,56,58,302
M,SANTANDER,Estrato 6,66,84,70,67,77,361
M,BOGOTA,Estrato 4,62,66,67,61,68,322
M,BOGOTA,Estrato 5,62,82,76,75,83,372
M,ATLANTICO,Estrato 6,59,56,47,52,68,273
F,CUNDINAMARCA,Estrato 6,70,72,77,80,100,383
M,VALLE,Estrato 5,61,75,75,75,81,361
F,VALLE,Estrato 4,76,89,73,72,78,388
M,VALLE,-,49,47,44,46,48,233
M,VALLE,Estrato 4,63,66,63,65,62,320
F,BOGOTA,Estrato 5,67,73,74,69,85,359
M,VALLE,Estrato 6,71,72,71,68,75,354
M,VALLE,Estrato 3,53,51,50,52,61,261
F,BOGOTA,Estrato 4,69,58,66,70,79,334
M,VALLE,Estrato 4,62,70,71,67,76,341
F,VALLE,Estrato 3,54,53,55,49,46,261
M,VALLE,Estrato 4,56,58,58,54,72,288
M,VALLE,Estrato 3,63,69,73,64,64,335
F,VALLE,Estrato 3,59,60,60,58,45,291
F,VALLE,Estrato 5,59,59,54,53,62,283
M,ANTIOQUIA,Estrato 1,69,70,72,71,80,356
F,CUNDINAMARCA,Estrato 5,62,64,59,65,83,320
M,ANTIOQUIA,Estrato 5,54,57,50,53,78,277
F,VALLE,Estrato 3,59,52,58,48,53,271
F,VALLE,Estrato 2,64,61,65,57,65,310
M,VALLE,Estrato 5,75,71,73,65,80,358
M,VALLE,Estrato 5,73,74,65,78,88,368
F,VALLE,Estrato 3,59,49,46,47,40,247
M,VALLE,Estrato 2,65,59,68,59,73,318
M,MAGDALENA,Estrato 6,68,68,71,64,81,344
F,BOGOTA,Estrato 4,48,36,31,52,100,231
F,ATLANTICO,Estrato 5,62,72,69,64,86,341
M,BOGOTA,Estrato 5,72,66,70,70,81,352
F,BOGOTA,Estrato 4,68,72,74,72,94,366
F,VALLE,Estrato 3,65,65,62,65,63,321
M,VALLE,Estrato 4,42,36,35,32,72,195
F,NARIÑO,Estrato 4,62,80,68,62,70,341
F,VALLE,Estrato 3,62,64,62,55,61,304
F,VALLE,Estrato 3,62,53,44,67,64,285
M,VALLE,Estrato 2,47,56,54,57,51,267
F,ANTIOQUIA,Estrato 6,83,78,76,77,94,398
F,VALLE,Estrato 3,60,65,67,67,68,325
M,VALLE,Estrato 2,51,45,51,53,39,246
M,VALLE,Estrato 3,55,56,52,55,44,268
F,VALLE,Estrato 6,59,51,60,59,63,288
F,CALDAS,Estrato 6,69,73,73,77,83,369
F,VALLE,Estrato 5,49,50,45,35,52,227
F,VALLE,Estrato 3,67,61,61,63,77,320
F,ATLANTICO,Estrato 6,78,87,83,74,100,410
F,VALLE,Estrato 6,52,59,53,55,74,281
F,VALLE,Estrato 5,56,53,46,58,49,265
M,VALLE,Estrato 4,54,63,72,59,63,310
F,VALLE,Estrato 3,72,58,58,62,67,314
F,VALLE,Estrato 3,56,58,58,60,66,293
F,CALDAS,Estrato 6,63,67,65,67,90,337
F,VALLE,-,59,52,58,54,58,280
M,VALLE,Estrato 4,59,58,56,63,57,294
M,BOGOTA,Estrato 4,67,67,70,67,79,343
M,VALLE,Estrato 4,58,54,53,51,47,267
F,VALLE,Estrato 6,75,80,73,79,100,393
F,BOGOTA,Estrato 5,74,76,72,65,100,370
M,VALLE,Estrato 2,64,68,69,58,69,325
M,CAUCA,Estrato 4,79,80,78,79,78,395
F,VALLE,Estrato 5,57,58,62,60,60,297
M,BOGOTA,Estrato 6,68,74,71,70,75,355
F,VALLE,Estrato 5,61,55,58,64,61,298
F,ATLANTICO,Sin Estrato,64,67,67,70,81,340
F,VALLE,Estrato 4,64,60,72,75,91,348
F,VALLE,Estrato 6,81,74,72,77,93,387
F,BOGOTA,Estrato 4,71,79,82,81,87,395
M,VALLE,Estrato 3,64,66,68,65,65,328
F,VALLE,Estrato 4,57,58,56,57,71,290
M,BOGOTA,Estrato 4,74,81,100,83,74,418
F,BOGOTA,Estrato 4,68,73,68,68,95,356
F,VALLE,Estrato 3,53,53,50,47,42,250
F,VALLE,Estrato 5,59,64,59,55,63,298
M,VALLE,Estrato 4,55,65,68,63,58,312
M,VALLE,Estrato 3,72,76,75,58,84,357
M,CORDOBA,Estrato 4,69,79,78,64,84,367
F,VALLE,Estrato 2,56,50,56,52,79,277
M,ANTIOQUIA,Estrato 6,65,78,72,73,90,367
F,RISARALDA,Estrato 6,68,81,72,68,89,368
F,CAUCA,Estrato 3,48,54,55,52,50,260
F,BOGOTA,Estrato 6,70,60,76,64,100,350
F,ATLANTICO,Estrato 6,65,65,62,58,68,315
M,VALLE,Estrato 4,66,58,68,78,75,340
M,VALLE,Estrato 4,70,75,70,69,80,358
F,BOGOTA,Estrato 5,72,73,72,53,88,345
M,BOGOTA,Estrato 3,70,74,81,84,84,389
F,ATLANTICO,Estrato 5,59,63,59,58,74,304
F,VALLE,Estrato 4,54,56,60,59,52,284
M,VALLE,Estrato 6,61,67,65,74,70,335
M,VALLE,Estrato 3,63,76,68,67,85,349
F,VALLE,Estrato 5,59,58,58,48,67,283
F,BOGOTA,Estrato 6,60,57,62,57,76,302
F,CUNDINAMARCA,Estrato 5,63,63,61,59,78,314
M,VALLE,Estrato 4,72,76,77,68,68,364
F,ATLANTICO,Estrato 5,64,60,52,53,83,296
M,NARIÑO,Estrato 5,71,75,73,67,75,359
M,ANTIOQUIA,Estrato 6,70,65,72,72,98,360
M,VALLE,Estrato 5,67,72,77,71,82,363
F,VALLE,Estrato 2,43,42,43,38,38,206
F,ANTIOQUIA,-,63,65,67,64,87,332
M,VALLE,Estrato 3,68,60,60,75,56,325
M,BOGOTA,Estrato 4,57,71,61,64,76,321
F,VALLE,Estrato 5,71,78,71,79,86,378
M,VALLE,Estrato 6,63,70,63,64,100,338
M,CAUCA,Estrato 4,78,83,100,75,76,417
F,ATLANTICO,Estrato 5,57,55,60,58,83,297
F,VALLE,Estrato 4,47,44,41,40,27,209
F,ANTIOQUIA,Estrato 6,66,63,66,70,81,337
M,VALLE,Estrato 6,69,74,71,72,82,362
M,BOGOTA,Estrato 5,78,100,82,78,100,428
F,VALLE,Estrato 3,47,52,52,56,55,260
M,BOGOTA,Estrato 5,73,73,79,74,84,377
M,ANTIOQUIA,Estrato 6,78,100,79,84,100,432
F,VALLE,Estrato 4,59,61,60,57,69,300
F,BOGOTA,Estrato 6,65,59,61,65,84,321
F,VALLE,Estrato 2,53,47,48,48,44,243
M,LA GUAJIRA,Estrato 3,58,70,64,59,86,323
F,NARIÑO,Estrato 4,56,62,68,48,69,297
M,ANTIOQUIA,Estrato 6,57,68,64,53,65,304
M,VALLE,Estrato 3,62,75,77,73,80,362
F,RISARALDA,Sin Estrato,53,53,52,57,69,275
M,BOGOTA,Estrato 3,63,68,72,67,87,345
F,VALLE,Estrato 3,59,54,53,50,54,270
F,NARIÑO,Estrato 2,68,33,62,57,68,280
F,VALLE,Estrato 2,48,48,52,51,58,252
F,VALLE,Estrato 2,56,51,49,50,56,259
F,BOGOTA,Estrato 6,61,66,73,64,81,336
F,BOGOTA,Estrato 4,56,45,47,52,69,257
M,VALLE,Estrato 4,43,53,54,47,33,240
F,VALLE,Estrato 2,63,71,62,63,62,323
M,ANTIOQUIA,Estrato 5,65,61,70,67,79,334
F,CALDAS,Estrato 4,72,66,75,79,88,371
F,VALLE,Estrato 3,68,75,69,69,82,356
M,ATLANTICO,Estrato 6,70,76,74,71,83,368
F,VALLE,Sin Estrato,36,35,35,29,28,167
M,VALLE,Estrato 3,46,37,54,46,36,225
F,LA GUAJIRA,Estrato 4,73,68,73,74,79,363
M,VALLE,Estrato 3,44,46,50,42,52,230
M,BOGOTA,Estrato 6,69,68,67,67,94,349
F,BOGOTA,Estrato 4,39,32,32,32,36,170
F,VALLE,Estrato 4,75,64,63,64,63,331
F,VALLE,Estrato 4,65,60,63,62,68,315
F,VALLE,Estrato 3,48,56,53,53,46,260
F,CALDAS,Estrato 6,60,70,61,73,97,342
F,BOGOTA,Estrato 4,65,72,71,67,84,350
M,VALLE,Estrato 4,60,68,63,59,52,308
M,BOGOTA,Estrato 5,65,51,55,58,54,285
F,VALLE,Estrato 3,65,61,61,66,65,317
M,VALLE,Estrato 3,54,62,59,60,57,293
F,VALLE,Estrato 2,62,53,57,60,57,290
F,VALLE,Estrato 4,55,50,52,61,38,266
F,VALLE,Estrato 5,53,48,47,47,36,239
F,VALLE,Estrato 1,55,47,51,52,43,253
F,CAUCA,Estrato 4,79,86,80,71,84,397
M,VALLE,Estrato 6,57,67,68,55,63,309
F,BOGOTA,Estrato 5,63,67,58,69,75,325
F,VALLE,Estrato 3,44,41,37,46,38,208
F,NARIÑO,Estrato 6,60,72,75,68,81,348
M,VALLE,Estrato 2,65,74,75,77,69,362
M,VALLE,-,54,57,60,56,50,281
F,VALLE,Estrato 2,43,45,54,54,44,243
F,VALLE,Estrato 3,70,61,61,61,66,317
F,ANTIOQUIA,Estrato 6,64,57,63,58,76,308
F,BOGOTA,Estrato 3,67,62,70,68,79,338
M,VALLE,Estrato 3,61,64,78,70,70,342
M,VALLE,Estrato 3,62,56,52,58,36,277
F,ANTIOQUIA,Estrato 6,67,61,62,66,88,329
M,VALLE,Estrato 3,69,73,83,76,93,383
F,VALLE,Estrato 4,71,70,74,82,95,379
M,ATLANTICO,Estrato 5,69,79,67,66,89,358
F,VALLE,Estrato 4,53,51,54,50,68,266
F,CAUCA,Estrato 4,61,44,53,56,57,269
F,VALLE,Estrato 6,69,67,65,69,84,344
F,CALDAS,Estrato 4,54,37,45,48,63,237
F,BOGOTA,Estrato 6,61,61,62,54,78,305
M,BOGOTA,Estrato 4,67,76,67,64,79,347
F,VALLE,Estrato 4,68,73,69,77,87,365
